NP_001355814	NM_001368885
NP_114400	NM_032011
NP_001019854	NM_001024683
NP_001273935	NM_001287006
NP_001337142	NM_001350213
NP_077276	NM_024300
NP_001004749	NM_001004749
NP_001371863	NM_001384934
NP_001309213	NM_001322284
NP_001005484	NM_001005484
NP_001339415	NM_001352486
NP_001371569	NM_001384640
NP_001317932	NM_001331003
NP_001308452	NM_001321523
NP_001004736	NM_001004736
NP_001311079	NM_001324150
NP_001276100	NM_001289171
NP_001239202	NM_001252273
NP_001333945	NM_001347016
NP_001317568	NM_001330639
NP_001373027	NM_001386098
NP_001012320	NM_001012320
NP_001278261	NM_001291332
NP_001338942	NM_001352013
NP_001276860	NM_001289931
NP_001316532	NM_001329603
NP_001333949	NM_001347020
NP_001163045	NM_001169574
NP_001371862	NM_001384933
NP_001257481	NM_001270552
NP_001372148	NM_001385219
NP_001337929	NM_001351000
NP_001258881	NM_001271952
NP_001230097	NM_001243168
NP_001311071	NM_001324142
NP_001189385	NM_001202456
NP_001333403	NM_001346474
NP_001341399	NM_001354470
NP_001333396	NM_001346467
NP_001371583	NM_001384654
NP_001333406	NM_001346477
NP_001305737	NM_001318808
NP_001340750	NM_001353821
NP_001185912	NM_001198983
NP_001004714	NM_001004714
NP_001335647	NM_001348718
NP_001309790	NM_001322861
NP_001340448	NM_001353519
NP_001339027	NM_001352098
NP_001008704	NM_001008704
NP_001353111	NM_001366182
NP_001371971	NM_001385042
NP_001005497	NM_001005497
NP_001137242	NM_001143770
NP_001339022	NM_001352093
NP_001290211	NM_001303282
NP_001229477	NM_001242548
NP_001340437	NM_001353508
NP_001350486	NM_001363557
NP_775734	NM_173463
NP_001339227	NM_001352298
NP_872314	NM_182508
NP_950240	NM_199039
NP_001254534	NM_001267605
NP_001243669	NM_001256740
NP_001271284	NM_001284355
NP_001371671	NM_001384742
NP_001127768	NM_001134296
NP_001337517	NM_001350588
NP_001005467	NM_001005467
NP_001077081	NM_001083612
NP_001092295	NM_001098825
NP_001160175	NM_001166703
NP_001371835	NM_001384906
NP_001245140	NM_001258211
NP_001317613	NM_001330684
NP_001025010	NM_001029839
NP_001137243	NM_001143771
NP_001004751	NM_001004751
NP_001317924	NM_001330995
NP_001004692	NM_001004692
NP_001309797	NM_001322868
NP_001287909	NM_001300980
NP_001340446	NM_001353517
NP_001371969	NM_001385040
NP_001036018	NM_001042553
NP_001258884	NM_001271955
NP_001371395	NM_001384466
NP_001276095	NM_001289166
NP_001334953	NM_001348024
NP_001012333	NM_001012333
NP_001338941	NM_001352012
NP_001005191	NM_001005191
NP_001311088	NM_001324159
NP_001005185	NM_001005185
NP_001308249	NM_001321320
NP_001350416	NM_001363487
NP_060572	NM_018102
NP_001309958	NM_001323029
NP_001372904	NM_001385975
NP_036510	NM_012378
NP_653248	NM_144647
NP_001372666	NM_001385737
NP_001292016	NM_001305087
NP_001371976	NM_001385047
NP_001004136	NM_001004136
NP_001372173	NM_001385244
NP_001317603	NM_001330674
NP_001291689	NM_001304760
NP_001371950	NM_001385021
NP_001180541	NM_001193612
NP_001335193	NM_001348264
NP_001371949	NM_001385020
NP_001005197	NM_001005197
NP_001274365	NM_001287436
NP_001371826	NM_001384897
NP_001308695	NM_001321766
NP_473446	NM_054105
NP_001333901	NM_001346972
NP_001010880	NM_001010880
NP_001340744	NM_001353815
NP_116754	NM_032972
NP_001372000	NM_001385071
NP_001372578	NM_001385649
NP_001139733	NM_001146261
NP_001308053	NM_001321124
NP_001005503	NM_001005503
NP_001139642	NM_001146170
NP_001307710	NM_001320781
NP_001273650	NM_001286721
NP_001372979	NM_001386050
NP_001369736	NM_001382807
NP_001189338	NM_001202409
NP_001371975	NM_001385046
NP_001005501	NM_001005501
NP_001372174	NM_001385245
NP_001309210	NM_001322281
NP_001273699	NM_001286770
NP_001276112	NM_001289183
NP_001309059	NM_001322130
NP_001123619	NM_001130147
NP_001310206	NM_001323277
NP_001309261	NM_001322332
NP_001335068	NM_001348139
NP_112163	NM_030901
NP_001254794	NM_001267865
NP_001004724	NM_001004724
NP_001005465	NM_001005465
NP_001139737	NM_001146265
NP_001352509	NM_001365580
NP_001157845	NM_001164373
NP_001339036	NM_001352107
NP_001333488	NM_001346559
NP_001345239	NM_001358310
NP_001371581	NM_001384652
NP_001004755	NM_001004755
NP_001284599	NM_001297670
NP_001243596	NM_001256667
NP_001185943	NM_001199014
NP_001273577	NM_001286648
NP_001307696	NM_001320767
NP_001272981	NM_001286052
NP_001172105	NM_001185176
NP_001335650	NM_001348721
NP_001308170	NM_001321241
NP_001371571	NM_001384642
NP_001013373	NM_001013355
NP_001128712	NM_001135240
NP_001371836	NM_001384907
NP_001265169	NM_001278240
NP_001350487	NM_001363558
NP_001004745	NM_001004745
NP_001307699	NM_001320770
NP_001290407	NM_001303478
NP_001371970	NM_001385041
NP_001273631	NM_001286702
NP_001004740	NM_001004740
NP_001230181	NM_001243252
NP_001372572	NM_001385643
NP_001371584	NM_001384655
NP_001230656	NM_001243727
NP_001373041	NM_001386112
NP_001308251	NM_001321322
NP_001229560	NM_001242631
NP_001028746	NM_001033574
NP_001339017	NM_001352088
NP_001316453	NM_001329524
NP_001292014	NM_001305085
NP_001001659	NM_001001659
NP_060168	NM_017698
NP_001276110	NM_001289181
NP_001333393	NM_001346464
NP_001371641	NM_001384712
NP_039226	NM_013938
NP_689709	NM_152496
NP_001309066	NM_001322137
NP_001373065	NM_001386136
NP_001372146	NM_001385217
NP_001092283	NM_001098813
NP_001230650	NM_001243721
NP_001341466	NM_001354537
NP_001317338	NM_001330409
NP_001339033	NM_001352104
NP_982292	NM_203467
NP_001339034	NM_001352105
NP_001153803	NM_001160331
NP_001353489	NM_001366560
NP_001353488	NM_001366559
NP_001161846	NM_001168374
NP_001295299	NM_001308370
NP_001317184	NM_001330255
NP_694995	NM_153263
NP_001374213	NM_001387284
NP_001374130	NM_001387201
NP_001273399	NM_001286470
NP_001272982	NM_001286053
NP_001339409	NM_001352480
NP_001375364	NM_001388435
NP_001375003	NM_001388074
NP_060913	NM_018443
NP_001374145	NM_001387216
NP_001171515	NM_001178044
NP_001092292	NM_001098822
NP_001269334	NM_001282405
NP_001333952	NM_001347023
NP_001003676	NM_001003676
NP_001350017	NM_001363088
NP_001375106	NM_001388177
NP_660325	NM_145282
NP_001317911	NM_001330982
NP_001316385	NM_001329456
NP_001307801	NM_001320872
NP_001375409	NM_001388480
NP_001374605	NM_001387676
NP_001374696	NM_001387767
NP_001375300	NM_001388371
NP_001374044	NM_001387115
NP_001136049	NM_001142577
NP_001095836	NM_001102366
NP_001374339	NM_001387410
NP_001375336	NM_001388407
NP_001374326	NM_001387397
NP_001340743	NM_001353814
NP_001290184	NM_001303255
NP_001035243	NM_001040153
NP_001316450	NM_001329521
NP_001276859	NM_001289930
NP_001374242	NM_001387313
NP_001277221	NM_001290292
NP_001374344	NM_001387415
NP_001374140	NM_001387211
NP_001339032	NM_001352103
NP_001374331	NM_001387402
NP_001309789	NM_001322860
NP_387450	NM_033646
NP_001171516	NM_001178045
NP_001243537	NM_001256608
NP_001273142	NM_001286213
NP_001350667	NM_001363738
NP_001351936	NM_001365007
NP_001309788	NM_001322859
NP_001273701	NM_001286772
NP_001309792	NM_001322863
NP_835223	NM_178122
NP_001189340	NM_001202411
NP_001284650	NM_001297721
NP_001276115	NM_001289186
NP_001186216	NM_001199287
NP_001305069	NM_001318140
NP_001374050	NM_001387121
NP_001374255	NM_001387326
NP_001339035	NM_001352106
NP_001339101	NM_001352172
NP_001374253	NM_001387324
NP_001374347	NM_001387418
NP_001337553	NM_001350624
NP_001309787	NM_001322858
NP_001332855	NM_001345926
NP_001129070	NM_001135598
NP_001269650	NM_001282721
NP_001317929	NM_001331000
NP_001306924	NM_001319995
NP_001258386	NM_001271457
NP_001230099	NM_001243170
NP_001374322	NM_001387393
NP_001120653	NM_001127181
NP_001340742	NM_001353813
NP_001374051	NM_001387122
NP_001338482	NM_001351553
NP_653192	NM_144591
NP_057003	NM_015919
NP_001374767	NM_001387838
NP_001275983	NM_001289054
NP_001307720	NM_001320791
NP_001284625	NM_001297696
NP_001340755	NM_001353826
NP_001335452	NM_001348523
NP_001375303	NM_001388374
NP_001158730	NM_001165258
NP_001375366	NM_001388437
NP_001374688	NM_001387759
NP_001375312	NM_001388383
NP_001309064	NM_001322135
NP_001001663	NM_001001663
NP_001273406	NM_001286477
NP_001375311	NM_001388382
NP_001375004	NM_001388075
NP_001338494	NM_001351565
NP_001288613	NM_001301684
NP_001374251	NM_001387322
NP_001337523	NM_001350594
NP_001153879	NM_001160407
NP_001333940	NM_001347011
NP_001284598	NM_001297669
NP_001338231	NM_001351302
NP_001334771	NM_001347842
NP_001188405	NM_001201476
NP_001185908	NM_001198979
NP_001339028	NM_001352099
NP_001164434	NM_001170963
NP_001106190	NM_001112719
NP_001171925	NM_001184996
NP_001009941	NM_001009941
NP_001160176	NM_001166704
NP_001284601	NM_001297672
NP_001245147	NM_001258218
NP_150630	NM_033288
NP_001288766	NM_001301837
NP_001306042	NM_001319113
NP_001375306	NM_001388377
NP_001230098	NM_001243169
NP_001258837	NM_001271908
NP_001338478	NM_001351549
NP_001295004	NM_001308075
NP_001304788	NM_001317859
NP_001157844	NM_001164372
NP_071737	NM_022342
NP_001374342	NM_001387413
NP_001243277	NM_001256348
NP_001273495	NM_001286566
NP_001374768	NM_001387839
NP_001374999	NM_001388070
NP_001311182	NM_001324253
NP_001374258	NM_001387329
NP_001161431	NM_001167959
NP_001339417	NM_001352488
NP_001137246	NM_001143774
NP_663791	NM_145738
NP_001271234	NM_001284305
NP_001267728	NM_001280799
NP_001373795	NM_001386866
NP_001121696	NM_001128224
NP_001011667	NM_001011667
NP_001375103	NM_001388174
NP_001273375	NM_001286446
NP_001273401	NM_001286472
NP_001275935	NM_001289006
NP_001306173	NM_001319244
NP_001374691	NM_001387762
NP_001273391	NM_001286462
NP_001374771	NM_001387842
NP_001278297	NM_001291368
NP_001281243	NM_001294314
NP_001374361	NM_001387432
NP_001304003	NM_001317074
NP_001138405	NM_001144933
NP_001374365	NM_001387436
NP_001269936	NM_001283007
NP_001339037	NM_001352108
NP_001374134	NM_001387205
NP_001248379	NM_001261450
NP_001374764	NM_001387835
NP_001099001	NM_001105531
NP_001164223	NM_001170752
NP_001295091	NM_001308162
NP_001191285	NM_001204356
NP_001170782	NM_001177311
NP_001258838	NM_001271909
NP_001375337	NM_001388408
NP_001190991	NM_001204062
NP_001374330	NM_001387401
NP_001374689	NM_001387760
NP_001273140	NM_001286211
NP_001098668	NM_001105198
NP_001339020	NM_001352091
NP_001273024	NM_001286095
NP_001191197	NM_001204268
NP_001375240	NM_001388311
NP_001276097	NM_001289168
NP_001229731	NM_001242802
NP_001265142	NM_001278213
NP_001374214	NM_001387285
NP_001258879	NM_001271950
NP_001374349	NM_001387420
NP_775801	NM_173530
NP_001230315	NM_001243386
NP_001229298	NM_001242369
NP_001375310	NM_001388381
NP_001311074	NM_001324145
NP_001257513	NM_001270584
NP_001350580	NM_001363651
NP_001374701	NM_001387772
NP_001229858	NM_001242929
NP_001374056	NM_001387127
NP_001273628	NM_001286699
NP_612350	NM_138341
NP_001154899	NM_001161427
NP_001258878	NM_001271949
NP_001374327	NM_001387398
NP_001258792	NM_001271863
NP_001127940	NM_001134468
NP_001306028	NM_001319099
NP_001375302	NM_001388373
NP_001374323	NM_001387394
NP_001335475	NM_001348546
NP_001288579	NM_001301650
NP_001277243	NM_001290314
NP_001337522	NM_001350593
NP_001336722	NM_001349793
NP_001309009	NM_001322080
NP_001317069	NM_001330140
NP_001374246	NM_001387317
NP_001374695	NM_001387766
NP_001375001	NM_001388072
NP_001337878	NM_001350949
NP_001374144	NM_001387215
NP_001374962	NM_001388033
NP_001375102	NM_001388173
NP_001374319	NM_001387390
NP_001374950	NM_001388021
NP_001189479	NM_001202550
NP_001339402	NM_001352473
NP_001337519	NM_001350590
NP_001374137	NM_001387208
NP_001339043	NM_001352114
NP_001276037	NM_001289108
NP_001374772	NM_001387843
NP_001374345	NM_001387416
NP_001005471	NM_001005471
NP_001258856	NM_001271927
NP_001193981	NM_001207052
NP_001339403	NM_001352474
NP_001316445	NM_001329516
NP_001229269	NM_001242340
NP_001309258	NM_001322329
NP_001374321	NM_001387392
NP_001284554	NM_001297625
NP_001335693	NM_001348764
NP_001160174	NM_001166702
NP_001308201	NM_001321272
NP_001374324	NM_001387395
NP_001375105	NM_001388176
NP_001247416	NM_001260487
NP_001333414	NM_001346485
NP_001305808	NM_001318879
NP_001032764	NM_001037675
NP_001275639	NM_001288710
NP_001248389	NM_001261460
NP_001333407	NM_001346478
NP_001269934	NM_001283005
NP_001137298	NM_001143826
NP_065920	NM_020869
NP_001288765	NM_001301836
NP_001374354	NM_001387425
NP_001311069	NM_001324140
NP_001307877	NM_001320948
NP_001374047	NM_001387118
NP_001375360	NM_001388431
NP_001339418	NM_001352489
NP_001375362	NM_001388433
NP_001340434	NM_001353505
NP_001339025	NM_001352096
NP_001309957	NM_001323028
NP_001190993	NM_001204064
NP_001374963	NM_001388034
NP_001273417	NM_001286488
NP_001375305	NM_001388376
NP_057704	NM_016620
NP_001338483	NM_001351554
NP_001243667	NM_001256738
NP_001180457	NM_001193528
NP_001269932	NM_001283003
NP_663783	NM_145731
NP_001339398	NM_001352469
NP_001305070	NM_001318141
NP_001275937	NM_001289008
NP_065736	NM_020685
NP_001374254	NM_001387325
NP_001304650	NM_001317721
NP_001316444	NM_001329515
NP_001335066	NM_001348137
NP_001374139	NM_001387210
NP_001374358	NM_001387429
NP_001374135	NM_001387206
NP_001374138	NM_001387209
NP_001340746	NM_001353817
NP_001374956	NM_001388027
NP_001375410	NM_001388481
NP_001252527	NM_001265598
NP_001374250	NM_001387321
NP_001374280	NM_001387351
NP_001374360	NM_001387431
NP_001170946	NM_001177475
NP_001374346	NM_001387417
NP_001306240	NM_001319311
NP_001164221	NM_001170750
NP_001374698	NM_001387769
NP_001154483	NM_001161011
NP_001269654	NM_001282725
NP_001311078	NM_001324149
NP_001333392	NM_001346463
NP_001139726	NM_001146254
NP_001374136	NM_001387207
NP_001309010	NM_001322081
NP_001374215	NM_001387286
NP_001374062	NM_001387133
NP_001374348	NM_001387419
NP_001271232	NM_001284303
NP_003695	NM_003704
NP_001375338	NM_001388409
NP_001375339	NM_001388410
NP_001338943	NM_001352014
NP_001374353	NM_001387424
NP_001374060	NM_001387131
NP_001073978	NM_001080509
NP_001258839	NM_001271910
NP_001374046	NM_001387117
NP_001263296	NM_001276367
NP_001374325	NM_001387396
NP_001258815	NM_001271886
NP_001166303	NM_001172832
NP_001341524	NM_001354595
NP_001375239	NM_001388310
NP_001374247	NM_001387318
NP_001372660	NM_001385731
NP_001273708	NM_001286779
NP_001138566	NM_001145094
NP_001164605	NM_001171134
NP_001375367	NM_001388438
NP_001001917	NM_001001917
NP_001374058	NM_001387129
NP_001339401	NM_001352472
NP_001004693	NM_001004693
NP_001269935	NM_001283006
NP_940882	NM_198480
NP_001308193	NM_001321264
NP_001375340	NM_001388411
NP_001166988	NM_001173517
NP_001375335	NM_001388406
NP_001311077	NM_001324148
NP_001273405	NM_001286476
NP_001229800	NM_001242871
NP_001278014	NM_001291085
NP_660148	NM_145165
NP_001129247	NM_001135775
NP_001375002	NM_001388073
NP_001374146	NM_001387217
NP_001375307	NM_001388378
NP_001374352	NM_001387423
NP_001373277	NM_001386348
NP_001274461	NM_001287532
NP_001288767	NM_001301838
NP_001374766	NM_001387837
NP_001273144	NM_001286215
NP_001291266	NM_001304337
NP_001239257	NM_001252328
NP_001273023	NM_001286094
NP_001180382	NM_001193453
NP_077012	NM_024107
NP_001277222	NM_001290293
NP_001374048	NM_001387119
NP_001186457	NM_001199528
NP_001186456	NM_001199527
NP_001336723	NM_001349794
NP_001306595	NM_001319666
NP_001338230	NM_001351301
NP_001374776	NM_001387847
NP_001374252	NM_001387323
NP_001308247	NM_001321318
NP_001374958	NM_001388029
NP_001339098	NM_001352169
NP_001374964	NM_001388035
NP_001243534	NM_001256605
NP_001304931	NM_001318002
NP_001337512	NM_001350583
NP_001374490	NM_001387561
NP_001254535	NM_001267606
NP_001333935	NM_001347006
NP_001335451	NM_001348522
NP_001309067	NM_001322138
NP_001374357	NM_001387428
NP_001337526	NM_001350597
NP_001374055	NM_001387126
NP_001340440	NM_001353511
NP_001374363	NM_001387434
NP_001374329	NM_001387400
NP_001373835	NM_001386906
NP_001374244	NM_001387315
NP_001336336	NM_001349407
NP_001135941	NM_001142469
NP_001335150	NM_001348221
NP_001339420	NM_001352491
NP_001374350	NM_001387421
NP_001273615	NM_001286686
NP_001276096	NM_001289167
NP_001333957	NM_001347028
NP_001349715	NM_001362786
NP_733837	NM_170719
NP_001374249	NM_001387320
NP_001289699	NM_001302770
NP_001374697	NM_001387768
NP_001374243	NM_001387314
NP_001339382	NM_001352453
NP_001094090	NM_001100620
NP_001336332	NM_001349403
NP_001333946	NM_001347017
NP_001339421	NM_001352492
NP_001170781	NM_001177310
NP_001375000	NM_001388071
NP_037388	NM_013256
NP_001258218	NM_001271289
NP_001333936	NM_001347007
NP_001287817	NM_001300888
NP_001138554	NM_001145082
NP_001375313	NM_001388384
NP_001290035	NM_001303106
NP_001265143	NM_001278214
NP_001374337	NM_001387408
NP_001271233	NM_001284304
NP_001374052	NM_001387123
NP_001317068	NM_001330139
NP_001374364	NM_001387435
NP_001337323	NM_001350394
NP_001295198	NM_001308269
NP_001350518	NM_001363589
NP_001340751	NM_001353822
NP_001374356	NM_001387427
NP_001243533	NM_001256604
NP_001334954	NM_001348025
NP_694960	NM_153228
NP_001258216	NM_001271287
NP_001230314	NM_001243385
NP_001308453	NM_001321524
NP_001269791	NM_001282862
NP_001309063	NM_001322134
NP_001275688	NM_001288759
NP_150376	NM_033273
NP_001011670	NM_001011670
NP_001334780	NM_001347851
NP_001309259	NM_001322330
NP_001011669	NM_001011669
NP_001333412	NM_001346483
NP_835145	NM_178044
NP_001273203	NM_001286274
NP_001177756	NM_001190827
NP_001350902	NM_001363973
NP_001186215	NM_001199286
NP_114479	NM_032090
NP_612433	NM_138424
NP_001317934	NM_001331005
NP_001311080	NM_001324151
NP_001373813	NM_001386884
NP_001307700	NM_001320771
NP_001374053	NM_001387124
NP_001248380	NM_001261451
NP_872380	NM_182574
NP_001192149	NM_001205220
NP_001129979	NM_001136507
NP_001373987	NM_001387058
NP_001333956	NM_001347027
NP_001154972	NM_001161500
NP_001337514	NM_001350585
NP_001332936	NM_001346007
NP_001374765	NM_001387836
NP_001339910	NM_001352981
NP_690873	NM_152909
NP_001333395	NM_001346466
NP_001374142	NM_001387213
NP_001243582	NM_001256653
NP_001374770	NM_001387841
NP_001339099	NM_001352170
NP_001374769	NM_001387840
NP_001375308	NM_001388379
NP_001374224	NM_001387295
NP_001374328	NM_001387399
NP_001336331	NM_001349402
NP_001353285	NM_001366356
NP_001374777	NM_001387848
NP_114062	NM_031856
NP_001138741	NM_001145269
NP_001184162	NM_001197233
NP_001291263	NM_001304334
NP_001375363	NM_001388434
NP_001374604	NM_001387675
NP_001010983	NM_001010983
NP_001340285	NM_001353356
NP_775839	NM_173568
NP_001258885	NM_001271956
NP_001374204	NM_001387275
NP_001263297	NM_001276368
NP_001374362	NM_001387433
NP_001374692	NM_001387763
NP_001269652	NM_001282723
NP_001375301	NM_001388372
NP_001374694	NM_001387765
NP_001341137	NM_001354208
NP_001337511	NM_001350582
NP_001333397	NM_001346468
NP_001375304	NM_001388375
NP_001374057	NM_001387128
NP_001375365	NM_001388436
NP_001374332	NM_001387403
NP_001374702	NM_001387773
NP_689672	NM_152459
NP_079173	NM_024897
NP_001274179	NM_001287250
NP_076944	NM_024039
NP_001345241	NM_001358312
NP_001247417	NM_001260488
NP_001291742	NM_001304813
NP_001374961	NM_001388032
NP_001311081	NM_001324152
NP_001374960	NM_001388031
NP_001374699	NM_001387770
NP_001374320	NM_001387391
NP_001374700	NM_001387771
NP_001093097	NM_001099627
NP_001028742	NM_001033570
NP_001374256	NM_001387327
NP_653281	NM_144680
NP_001374043	NM_001387114
NP_001374693	NM_001387764
NP_001374336	NM_001387407
NP_001374959	NM_001388030
NP_689736	NM_152523
NP_001017927	NM_001017927
NP_001243308	NM_001256379
NP_001247415	NM_001260486
NP_001307711	NM_001320782
NP_001243666	NM_001256737
NP_001239200	NM_001252271
NP_001229379	NM_001242450
NP_001164564	NM_001171093
NP_001340749	NM_001353820
NP_001317327	NM_001330398
NP_001374957	NM_001388028
NP_001307702	NM_001320773
NP_001287922	NM_001300993
NP_001307475	NM_001320546
NP_001374338	NM_001387409
NP_203131	NM_033345
NP_001374351	NM_001387422
NP_001353179	NM_001366250
NP_001339742	NM_001352813
NP_001308278	NM_001321349
NP_001374226	NM_001387297
NP_001129747	NM_001136275
NP_001308921	NM_001321992
NP_001121087	NM_001127615
NP_001157828	NM_001164356
NP_001333958	NM_001347029
NP_001273413	NM_001286484
NP_001284602	NM_001297673
NP_001123494	NM_001130022
NP_001374143	NM_001387214
NP_037492	NM_013360
NP_001317927	NM_001330998
NP_001375104	NM_001388175
NP_061035	NM_018565
NP_001374355	NM_001387426
NP_001191284	NM_001204355
NP_001193849	NM_001206920
NP_001374225	NM_001387296
NP_001265437	NM_001278508
NP_001135772	NM_001142300
NP_940888	NM_198486
NP_001273376	NM_001286447
NP_001308451	NM_001321522
NP_001346576	NM_001359647
NP_001256970	NM_001270041
NP_001375391	NM_001388462
NP_001186217	NM_001199288
NP_001339399	NM_001352470
NP_001309211	NM_001322282
NP_001374141	NM_001387212
NP_001137241	NM_001143769
NP_001375334	NM_001388405
NP_001273661	NM_001286732
NP_001338488	NM_001351559
NP_001160170	NM_001166698
NP_001265180	NM_001278251
NP_001291464	NM_001304535
NP_001309057	NM_001322128
NP_001337513	NM_001350584
NP_951056	NM_199074
NP_938055	NM_198313
NP_001339021	NM_001352092
NP_001333963	NM_001347034
NP_001166302	NM_001172831
NP_001337525	NM_001350596
NP_001341465	NM_001354536
NP_001308169	NM_001321240
NP_001374245	NM_001387316
NP_001306239	NM_001319310
NP_689868	NM_152655
NP_001180540	NM_001193611
NP_001337520	NM_001350591
NP_001164277	NM_001170806
NP_037491	NM_013359
NP_001333100	NM_001346171
NP_001273148	NM_001286219
NP_001243096	NM_001256167
NP_001229299	NM_001242370
NP_001295276	NM_001308347
NP_001374220	NM_001387291
NP_001374054	NM_001387125
NP_001276113	NM_001289184
NP_001374059	NM_001387130
NP_115524	NM_032148
NP_001185966	NM_001199037
NP_001304780	NM_001317851
NP_001340426	NM_001353497
NP_001337554	NM_001350625
NP_001257620	NM_001270691
NP_001374778	NM_001387849
NP_001375107	NM_001388178
NP_001305845	NM_001318916
NP_001154485	NM_001161013
NP_001374155	NM_001387226
NP_001374061	NM_001387132
NP_001374690	NM_001387761
NP_001248388	NM_001261459
NP_001273739	NM_001286810
NP_114413	NM_032024
NP_001182129	NM_001195200
NP_001308922	NM_001321993
NP_001254526	NM_001267597
NP_001374248	NM_001387319
NP_001006636	NM_001006635
NP_001306026	NM_001319097
NP_001258116	NM_001271187
NP_067006	NM_021183
NP_001316685	NM_001329756
NP_001003690	NM_001003690
NP_001258115	NM_001271186
NP_001316683	NM_001329754
NP_001012334	NM_001012334
NP_001257479	NM_001270550
NP_000795	NM_000804
NP_001304974	NM_001318045
NP_001355007	NM_001368078
NP_001355009	NM_001368080
NP_001278349	NM_001291420
NP_001716	NM_001725
NP_998771	NM_213606
NP_001245229	NM_001258300
NP_851320	NM_180989
NP_612440	NM_138431
NP_001374819	NM_001387890
NP_777582	NM_174922
NP_001341076	NM_001354147
NP_001341068	NM_001354139
NP_001341067	NM_001354138
NP_976230	NM_203355
NP_001341086	NM_001354157
NP_001341069	NM_001354140
NP_001341083	NM_001354154
NP_001234917	NM_001247988
NP_001341070	NM_001354141
NP_001341073	NM_001354144
NP_001341082	NM_001354153
NP_001341085	NM_001354156
NP_001341077	NM_001354148
NP_001341078	NM_001354149
NP_001341071	NM_001354142
NP_001341080	NM_001354151
NP_001376503	NM_001389574
NP_001234919	NM_001247990
NP_001341075	NM_001354146
NP_001341074	NM_001354145
NP_976229	NM_203354
NP_005921	NM_005930
NP_001234918	NM_001247989
NP_976231	NM_203356
NP_001341079	NM_001354150
NP_001341072	NM_001354143
NP_001341066	NM_001354137
NP_001341081	NM_001354152
NP_001341084	NM_001354155
NP_001363060	NM_001376131
NP_001376539	NM_001389610
NP_001376538	NM_001389609
NP_001376542	NM_001389613
NP_001376540	NM_001389611
NP_001376541	NM_001389612
NP_001341351	NM_001354422
NP_001376543	NM_001389614
NP_001171578	NM_001178107
NP_001171580	NM_001178109
NP_001171581	NM_001178110
NP_001171586	NM_001178115
NP_001171584	NM_001178113
NP_001362397	NM_001375468
NP_001107656	NM_001114184
NP_001288799	NM_001301870
NP_061914	NM_019041
NP_001288800	NM_001301871
NP_001362398	NM_001375469
NP_001288801	NM_001301872
NP_001362396	NM_001375467
NP_001287976	NM_001301047
NP_001333115	NM_001346186
NP_001274731	NM_001287802
NP_001333118	NM_001346189
NP_001375262	NM_001388333
NP_001375279	NM_001388350
NP_001185543	NM_001198614
NP_001333116	NM_001346187
NP_001269857	NM_001282928
NP_001375261	NM_001388332
NP_001269853	NM_001282924
NP_001363787	NM_001376858
NP_001375278	NM_001388349
NP_001035547	NM_001040457
NP_001287771	NM_001300842
NP_057038	NM_015954
NP_001185547	NM_001198618
NP_001264920	NM_001277991
NP_001372990	NM_001386061
NP_001373002	NM_001386073
NP_001375280	NM_001388351
NP_115504	NM_032128
NP_001185537	NM_001198608
NP_001372996	NM_001386067
NP_000757	NM_000766
NP_001375273	NM_001388344
NP_001375267	NM_001388338
NP_001375274	NM_001388345
NP_001928	NM_001937
NP_001180260	NM_001193331
NP_006651	NM_006660
NP_001375265	NM_001388336
NP_079269	NM_024993
NP_001274730	NM_001287801
NP_001333117	NM_001346188
NP_001375281	NM_001388352
NP_001375258	NM_001388329
NP_001375275	NM_001388346
NP_001269966	NM_001283037
NP_001372992	NM_001386063
NP_001336366	NM_001349437
NP_001372991	NM_001386062
NP_001025169	NM_001029998
NP_001375260	NM_001388331
NP_001363788	NM_001376859
NP_001185544	NM_001198615
NP_001185540	NM_001198611
NP_001287708	NM_001300779
NP_005317	NM_005326
NP_001375271	NM_001388342
NP_001185538	NM_001198609
NP_001273178	NM_001286249
NP_001336367	NM_001349438
NP_001375282	NM_001388353
NP_001304746	NM_001317817
NP_001306961	NM_001320032
NP_001372999	NM_001386070
NP_001269964	NM_001283035
NP_001336365	NM_001349436
NP_000540	NM_000549
NP_001001957	NM_001001957
NP_001375266	NM_001388337
NP_001304745	NM_001317816
NP_001375270	NM_001388341
NP_001317299	NM_001330370
NP_001375272	NM_001388343
NP_001373000	NM_001386071
NP_001375259	NM_001388330
NP_116212	NM_032823
NP_001375277	NM_001388348
NP_001373001	NM_001386072
NP_001185548	NM_001198619
NP_001375269	NM_001388340
NP_001304747	NM_001317818
NP_068594	NM_021822
NP_001375268	NM_001388339
NP_002840	NM_002849
NP_001185545	NM_001198616
NP_001372998	NM_001386069
NP_001375257	NM_001388328
NP_001376655	NM_001389726
NP_001377761	NM_001390832
NP_001377776	NM_001390847
NP_001376663	NM_001389734
NP_001376659	NM_001389730
NP_001376662	NM_001389733
NP_001376665	NM_001389736
NP_001307302	NM_001320373
NP_001376654	NM_001389725
NP_001343428	NM_001356499
NP_001376658	NM_001389729
NP_001376657	NM_001389728
NP_001376661	NM_001389732
NP_001376656	NM_001389727
NP_001377769	NM_001390840
NP_001376660	NM_001389731
NP_001376664	NM_001389735
NP_001378839	NM_001391910
NP_001378840	NM_001391911
NP_001269808	NM_001282879
NP_001307986	NM_001321057
NP_001344660	NM_001357731
