NM_002495	O43181	NDUFS4
NM_001270485	Q96RR4	CAMKK2
NM_024831	Q96RS0	TGS1
NM_001354285	O43166	SIPA1L1
NM_003215	P42680	TEC
NM_194285	Q68D10	SPTY2D1
NM_020204	Q9NQ69	LHX9
NM_001348694	Q05DH4	FHIP1A
NM_005677	Q9Y215	COLQ
NM_002722	P01298	PPY
NM_023947	Q9BWS9	CHID1
NM_001077195	Q9C0F3	ZNF436
NM_173353	Q8IWU9	TPH2
NM_017947	Q96EN8	MOCOS
NM_174921	Q96QK8	SMIM14
NM_013390	Q9UHN6	CEMIP2
NM_178557	Q8N9F0	NAT8L
NM_005819	O43752	STX6
NM_175748	Q8N806	UBR7
NM_012381	Q9UBD5	ORC3
NM_002691	P28340	POLD1
NM_016269	Q9UJU2	LEF1
NM_020310	Q99583	MNT
NM_006706	O14776	TCERG1
NM_001169	O94778	AQP8
NM_032627	Q9BWG4	SSBP4
NM_007078	O75112	LDB3
NM_014058	Q9UL52	TMPRSS11E
NM_206923	O15391	YY2
NM_175852	P40222	TXLNA
NM_002872	P15153	RAC2
NM_001388199	Q6ICI0	TMEM211
NM_002277	Q15323	KRT31
NM_016651	Q9NYF0	DACT1
NM_013367	Q9UJX5	ANAPC4
NM_014889	Q5JRX3	PITRM1
NM_004924	O43707	ACTN4
NM_022734	Q9H7H0	METTL17
NM_178509	Q6ZWJ1	STXBP4
NM_007059	Q9Y664	KPTN
NM_001195256	I3L273	GFY
NM_001009880	Q6ICG6	KIAA0930
NM_002643	Q07326	PIGF
NM_000750	P30926	CHRNB4
NM_002796	P28070	PSMB4
NM_003127	Q13813	SPTAN1
NM_020664	Q9NUI1	DECR2
NM_001072	P19224	UGT1A6
NM_020713	Q96KM6	ZNF512B
NM_001195278	H3BS89	TMEM178B
NM_005471	P46926	GNPDA1
NM_020814	Q9P2E8	MARCHF4
NM_022110	Q9UIM3	FKBPL
NM_001382496	Q96L11	LLCFC1
NM_014936	Q9Y6X5	ENPP4
NM_000452	Q12908	SLC10A2
NM_001002294	P31513	FMO3
NM_024307	Q7L5L3	GDPD3
NM_032125	Q9H0R3	TMEM222
NM_001004432	Q6UY18	LINGO4
NM_001171110	Q8N9E0	FAM133A
NM_152726	Q8IYU8	MICU2
NM_017435	Q9NYB5	SLCO1C1
NM_001496	O60609	GFRA3
NM_002412	P16455	MGMT
NM_032797	Q9BRQ8	AIFM2
NM_139248	Q8WWY8	LIPH
NM_173547	Q6PJ69	TRIM65
NM_007222	Q9UKY1	ZHX1
NM_005429	P49767	VEGFC
NM_016368	Q9NPH2	ISYNA1
NM_024077	Q96T21	SECISBP2
NM_021215	Q9NQG5	RPRD1B
NM_005726	P43897	TSFM
NM_178438	Q5TCM9	LCE5A
NM_003681	O00764	PDXK
NM_021954	Q9Y6H8	GJA3
NM_031844	Q00839	HNRNPU
NM_006174	Q15761	NPY5R
NM_014931	Q9UPN7	PPP6R1
NM_021825	Q9GZT6	CCDC90B
NM_017957	Q9H201	EPN3
NM_030979	Q9H361	PABPC3
NM_145172	Q8IWG1	DNAI3
NM_001136498	P0C7P0	CISD3
NM_003287	Q16890	TPD52L1
NM_018936	Q9Y5E7	PCDHB2
NM_001134224	Q96PE3	INPP4A
NM_025181	Q8WV83	SLC35F5
NM_002025	P51816	AFF2
NM_006904	P78527	PRKDC
NM_001178046	P20591	MX1
NM_003227	Q9UP52	TFR2
NM_001370464	Q96LB0	MRGPRX3
NM_014780	Q14999	CUL7
NM_001080821	Q96GE5	ZNF799
NM_201431	Q6ZTQ3	RASSF6
NM_007115	P98066	TNFAIP6
NM_006666	Q9Y230	RUVBL2
NM_030632	Q9C0F0	ASXL3
NM_000504	P00742	F10
NM_001321788	Q13191	CBLB
NM_016098	Q9Y5U8	MPC1
NM_006406	Q13162	PRDX4
NM_016333	Q9UQ35	SRRM2
NM_001001522	Q01995	TAGLN
NM_022659	Q9HAK2	EBF2
NM_000520	P06865	HEXA
NM_004773	Q15649	ZNHIT3
NM_003100	O60749	SNX2
NM_025262	Q5SRR4	LY6G5C
NM_001029864	Q5JYT7	KIAA1755
NM_138477	Q8IWY9	CDAN1
NM_024833	Q8TAW3	ZNF671
NM_152531	Q8NBI6	XXYLT1
NM_004371	P53621	COPA
NM_016656	Q5VZM2	RRAGB
NM_024545	Q9H0E3	SAP130
NM_145231	Q9BUY7	EFCAB11
NM_001384134	Q8NCU8	MTLN
NM_199337	Q7Z7N9	TMEM179B
NM_000115	P24530	EDNRB
NM_198506	Q3SXY7	LRIT3
NM_001040456	Q6NTF9	RHBDD2
NM_015086	O94850	DDN
NM_001256183	Q6UB99	ANKRD11
NM_002448	P28360	MSX1
NM_020936	Q8NHQ9	DDX55
NM_015336	Q8IUH5	ZDHHC17
NM_003205	Q99081	TCF12
NM_020980	O43315	AQP9
NM_014465	O43704	SULT1B1
NM_001030	P42677	RPS27
NM_001394474	Q96BW9	TAMM41
NM_177972	P50607	TUB
NM_001527	Q92769	HDAC2
NM_183352	P55735	SEC13
NM_003482	O14686	KMT2D
NM_134323	Q15633	TARBP2
NM_001204503	P49771	FLT3LG
NM_001256440	Q8N9M1	C19orf47
NM_080742	Q9NPZ5	B3GAT2
NM_001010859	Q6IC83	C22orf42
NM_153633	P09017	HOXC4
NM_000200	P15516	HTN3
NM_000584	P10145	CXCL8
NM_001377997	Q8TC76	FAM110B
NM_001251	P34810	CD68
NM_025159	Q9HAI6	TASL
NM_012444	Q9Y5K1	SPO11
NM_017890	Q7Z7G8	VPS13B
NM_001367572	P52744	ZNF138
NM_032343	Q9BRQ6	CHCHD6
NM_130469	Q8WYK2	JDP2
NM_080621	Q9BYL1	SAMD10
NM_000162	P35557	GCK
NM_001320444	Q8N9M5	TMEM102
NM_005086	Q14714	SSPN
NM_001322494	P48637	GSS
NM_152631	Q8NA70	FAM47B
NM_033410	Q96H86	ZNF764
NM_032974	Q92851	CASP10
NM_152911	Q6QHF9	PAOX
NM_033164	P55075	FGF8
NM_000169	P06280	GLA
NM_014481	Q9UBZ4	APEX2
NM_012305	O94973	AP2A2
NM_003183	P78536	ADAM17
NM_015358	Q14149	MORC3
NM_014649	Q14151	SAFB2
NM_152318	Q8N5I9	NOPCHAP1
NM_017964	Q6NXT4	SLC30A6
NM_182539	Q5JU00	TCTE1
NM_020750	Q9HAV4	XPO5
NM_033401	Q9C0A0	CNTNAP4
NM_001017405	Q7L5Y9	MAEA
NM_012281	Q9NZV8	KCND2
NM_173595	Q8NB46	ANKRD52
NM_024725	Q8N4S0	CCDC82
NM_152744	Q7Z5N4	SDK1
NM_001005922	Q6L8H4	KRTAP5-1
NM_015024	Q9UIA9	XPO7
NM_002205	P08648	ITGA5
NM_001930	P49366	DHPS
NM_194286	A7MD48	SRRM4
NM_018115	Q9NVU7	SDAD1
NM_003258	P04183	TK1
NM_001256874	A6NCW7	USP17L4
NM_144570	Q9H910	JPT2
NM_001136482	A8MVS5	HIDE1
NM_001365341	Q6ZNX1	SHLD3
NM_001002762	Q9NXW2	DNAJB12
NM_032288	Q96QD9	FYTTD1
NM_020469	P16442	ABO
NM_005848	Q7Z401	DENND4A
NM_004693	O95678	KRT75
NM_004238	Q14669	TRIP12
NM_005626	Q08170	SRSF4
NM_018230	Q8WUM0	NUP133
NM_001005162	Q8NGF0	OR52B6
NM_001304944	Q8N4W6	DNAJC22
NM_152643	Q76NI1	KNDC1
NM_002882	P43487	RANBP1
NM_001362873	Q07869	PPARA
NM_030810	Q8NBS9	TXNDC5
NM_015338	Q8IXJ9	ASXL1
NM_001384334	Q4W5P6	SMIM43
NM_001040157	Q9C0F1	CEP44
NM_080574	Q96DR5	BPIFA2
NM_000305	Q15165	PON2
NM_018683	Q9Y508	RNF114
NM_001144889	Q6PIS1	SLC23A3
NM_181713	P68543	UBXN2A
NM_000857	Q02153	GUCY1B1
NM_144980	Q5T5N4	C6orf118
NM_001388369	P0DPF3	NBPF9
NM_001004329	Q6ZNG2	DBX2
NM_001040876	P61221	ABCE1
NM_145647	Q96DN5	TBC1D31
NM_023924	Q9H8M2	BRD9
NM_001311	P50238	CRIP1
NM_005380	P41271	NBL1
NM_003918	O15488	GYG2
NM_019090	Q9P2G4	MAP10
NM_030931	Q9BYW3	DEFB126
NM_001184727	Q5JY77	GPRASP1
NM_002703	Q06203	PPAT
NM_001004704	Q8NH72	OR4C6
NM_001006118	A6NEQ0	RBMY1E
NM_032048	Q9BXX0	EMILIN2
NM_005301	Q9HC97	GPR35
NM_013342	P0C1Z6	TFPT
NM_001039112	Q2WGJ9	FER1L6
NM_004877	O60234	GMFG
NM_053043	Q96EV2	RBM33
NM_001363254	A0A1B0GVQ3	CCDC200
NM_004855	Q92521	PIGB
NM_016564	Q8N111	CEND1
NM_006302	Q13724	MOGS
NM_018434	Q86XS8	RNF130
NM_017817	Q9NX57	RAB20
NM_015292	Q9BSJ8	ESYT1
NM_024729	Q7Z406	MYH14
NM_022831	Q96BJ3	AIDA
NM_003505	Q9UP38	FZD1
NM_002313	O14639	ABLIM1
NM_000264	Q13635	PTCH1
NM_022782	Q99550	MPHOSPH9
NM_198147	Q6UXT9	ABHD15
NM_194284	Q96B33	CLDN23
NM_147188	Q8NEZ5	FBXO22
NM_175875	Q8N196	SIX5
NM_001013653	Q2I0M4	LRRC26
NM_020981	Q9Y5Z6	B3GALT1
NM_145716	Q9BWW4	SSBP3
NM_001190274	Q86XK2	FBXO11
NM_014738	Q12767	TMEM94
NM_030567	Q8TB68	PRR7
NM_016113	Q9Y5S1	TRPV2
NM_001277205	Q15077	P2RY6
NM_000707	P47901	AVPR1B
NM_024336	P78415	IRX3
NM_002609	P09619	PDGFRB
NM_024109	Q9BUU2	METTL22
NM_001111307	P27815	PDE4A
NM_001300979	Q8N184	ZNF567
NM_003735	O60330	PCDHGA12
NM_004333	P15056	BRAF
NM_013325	Q9Y4P1	ATG4B
NM_024847	Q7Z402	TMC7
NM_016147	Q9Y570	PPME1
NM_002646	O00750	PIK3C2B
NM_025231	Q9H4T2	ZSCAN16
NM_001025357	Q4LEZ3	AARD
NM_144611	Q8WUJ1	CYB5D2
NM_002371	P21145	MAL
NM_001323031	Q7L1I2	SV2B
NM_018655	Q9Y5L5	LENEP
NM_033197	Q8TDL5	BPIFB1
NM_001363519	Q8IXQ8	PDZD9
NM_001304993	Q96GA7	SDSL
NM_032900	Q14CB8	ARHGAP19
NM_018471	Q8WU90	ZC3H15
NM_032178	Q96CW6	SLC7A6OS
NM_014810	Q5VT06	CEP350
NM_002524	P01111	NRAS
NM_015123	Q9Y2L6	FRMD4B
NM_012064	P30301	MIP
NM_175039	Q9H4F1	ST6GALNAC4
NM_020939	Q9HCH3	CPNE5
NM_002536	Q3MII6	TBC1D25
NM_003126	P02549	SPTA1
NM_001007565	Q92734	TFG
NM_013431	O43908	KLRC4
NM_080597	Q9BXW6	OSBPL1A
NM_001178085	P17010	ZFX
NM_024576	Q5TC84	OGFRL1
NM_004691	P61421	ATP6V0D1
NM_007028	Q9BZY9	TRIM31
NM_019072	Q96EQ0	SGTB
NM_174981	Q86YR6	POTED
NM_178545	Q8NDY8	TMEM52
NM_139282	Q8NHV9	RHOXF1
NM_001304833	Q6N063	OGFOD2
NM_004279	O75439	PMPCB
NM_016044	Q96GK7	FAHD2A
NM_138499	Q6NUJ5	PWWP2B
NM_002315	P25800	LMO1
NM_033010	P57723	PCBP4
NM_152763	Q5T1N1	AKNAD1
NM_001282490	P0CJ92	GOLGA8H
NM_001355139	Q9NYA1	SPHK1
NM_018663	Q9NR77	PXMP2
NM_001145073	A6NNY8	USP27X
NM_006817	P30040	ERP29
NM_022114	Q9HAZ2	PRDM16
NM_001005241	Q8N0Y3	OR4N4
NM_007051	Q9UNN5	FAF1
NM_000341	Q07837	SLC3A1
NM_017448	P07864	LDHC
NM_001277	P35790	CHKA
NM_001174156	Q96LT4	SAMD8
NM_012459	Q9Y5J9	TIMM8B
NM_080821	Q96KR6	FAM210B
NM_022361	Q9HBV1	POPDC3
NM_057168	Q9UBV4	WNT16
NM_002747	P31152	MAPK4
NM_001813	Q02224	CENPE
NM_001378933	O14543	SOCS3
NM_001100619	Q8TDN4	CABLES1
NM_001040020	Q92520	FAM3C
NM_173825	Q5HYI8	RABL3
NM_004821	O96004	HAND1
NM_020660	Q9UKL4	GJD2
NM_005724	O60637	TSPAN3
NM_152864	Q8IVV8	NKAIN4
NM_001130960	Q4KWH8	PLCH1
NM_014832	O60343	TBC1D4
NM_138430	Q8NDY3	ADPRHL1
NM_005651	P48775	TDO2
NM_001172560	P35346	SSTR5
NM_017416	Q9NP60	IL1RAPL2
NM_001001670	Q6ZQQ2	SPATA31D1
NM_001037232	Q3KNS6	ZNF829
NM_014811	Q5T8A7	PPP1R26
NM_001012991	Q1ED39	KNOP1
NM_001256894	C9J2P7	USP17L15
NM_001374407	P0DPB6	POLR1D
NM_003113	P23497	SP100
NM_015291	Q9Y2G8	DNAJC16
NM_001104595	Q9NWS6	FAM118A
NM_012062	O00429	DNM1L
NM_138455	Q96CG8	CTHRC1
NM_144770	P57052	RBM11
NM_001794	P55283	CDH4
NM_033378	Q6NT52	CGB2
NM_004497	P55318	FOXA3
NM_002425	P09238	MMP10
NM_001082967	Q7Z5A7	TAFA5
NM_014638	O75038	PLCH2
NM_001024596	Q68DY9	ZNF772
NM_015004	Q15024	EXOSC7
NM_001845	P02462	COL4A1
NM_001145301	P10276	RARA
NM_001190228	P0DH78	RNF224
NM_001393578	Q96LB2	MRGPRX1
NM_016121	Q9Y597	KCTD3
NM_025076	Q8NBZ7	UXS1
NM_130384	Q8WXE1	ATRIP
NM_017820	Q8N9H8	EXD3
NM_175068	Q86Y46	KRT73
NM_001349268	O94876	TMCC1
NM_001324132	Q9NQW7	XPNPEP1
NM_153486	Q86WU2	LDHD
NM_000021	P49768	PSEN1
NM_031894	Q9BXU8	FTHL17
NM_001256511	Q04837	SSBP1
NM_025045	Q6UXY1	BAIAP2L2
NM_033423	P20718	GZMH
NM_174916	Q8IWV7	UBR1
NM_003252	Q01085	TIAL1
NM_001198592	Q8NFM4	ADCY4
NM_170753	Q8N328	PGBD3
NM_054014	P62942	FKBP1A
NM_016647	Q8WUY1	THEM6
NM_016483	Q9BWX1	PHF7
NM_015426	Q8NBT0	POC1A
NM_152522	Q8N6S5	ARL6IP6
NM_004550	O75306	NDUFS2
NM_000978	P62829	RPL23
NM_000738	P11229	CHRM1
NM_001237	P20248	CCNA2
NM_001382811	P02144	MB
NM_001015887	Q5DX21	IGSF11
NM_002626	P17858	PFKL
NM_003211	Q13569	TDG
NM_025163	Q86VD9	PIGZ
NM_017636	Q8TD43	TRPM4
NM_173464	Q8NA19	L3MBTL4
NM_001172700	Q2M3G4	SHROOM1
NM_015308	Q8N3X1	FNBP4
NM_001004703	A6NHA9	OR4C46
NM_145914	Q9Y5A6	ZSCAN21
NM_013376	Q9UHV2	SERTAD1
NM_005322	P16401	H1-5
NM_001164749	Q8IXF0	NPAS3
NM_152418	Q8NA75	DCAF4L2
NM_002960	P33764	S100A3
NM_001308421	A0A0B4J2F0	PIGBOS1
NM_003569	O15400	STX7
NM_003196	O75764	TCEA3
NM_032864	Q8NAV1	PRPF38A
NM_001312673	P49585	PCYT1A
NM_001031702	Q9P283	SEMA5B
NM_019114	Q9H329	EPB41L4B
NM_001367561	Q96N67	DOCK7
NM_001039127	Q3SXZ3	ZNF718
NM_001514	Q00403	GTF2B
NM_003720	O95456	PSMG1
NM_001512	O15217	GSTA4
NM_138371	Q96HM7	PCED1B
NM_014502	Q9UMS4	PRPF19
NM_014275	Q9UQ53	MGAT4B
NM_007001	Q76EJ3	SLC35D2
NM_003323	O00295	TULP2
NM_003357	P11684	SCGB1A1
NM_032527	Q8N5A5	ZGPAT
NM_000840	Q14832	GRM3
NM_001013842	Q8NAV2	C8orf58
NM_016217	Q9UBI9	HECA
NM_001205301	Q63HQ2	EGFLAM
NM_078480	Q9UHX1	PUF60
NM_001242680	A6NN14	ZNF729
NM_003310	Q53HC9	EIPR1
NM_001457	O75369	FLNB
NM_001100425	Q8NCT3	KIAA0895
NM_001163735	Q96H55	MYO19
NM_025264	Q9BTF0	THUMPD2
NM_001194998	O94986	CEP152
NM_014389	Q8IZL8	PELP1
NM_006551	O95969	SCGB1D2
NM_005752	O75596	CLEC3A
NM_005385	P30414	NKTR
NM_001012508	Q5BIV9	SPRN
NM_152320	Q96N77	ZNF641
NM_198467	Q6PCB5	RSBN1L
NM_005318	P07305	H1-0
NM_006636	P13995	MTHFD2
NM_203397	A4D2B0	MBLAC1
NM_138803	Q8NFR7	CCDC148
NM_001077269	O43516	WIPF1
NM_001143962	A6NHC0	CAPN8
NM_032410	Q86VS8	HOOK3
NM_000629	P17181	IFNAR1
NM_001973	P28324	ELK4
NM_000990	P46776	RPL27A
NM_001001671	Q6ZN16	MAP3K15
NM_001256862	D6R901	USP17L21
NM_001891	P05814	CSN2
NM_001288588	Q6N043	ZNF280D
NM_178329	P51677	CCR3
NM_173814	Q2VWP7	PRTG
NM_004395	Q16643	DBN1
NM_001294338	P49760	CLK2
NM_002731	P22694	PRKACB
NM_001297419	P43351	RAD52
NM_173834	Q96EC8	YIPF6
NM_153833	Q8IZA3	H1-8
NM_016199	Q9UK45	LSM7
NM_032566	P58062	SPINK7
NM_014674	Q92611	EDEM1
NM_003427	P36508	ZNF76
NM_005462	O60732	MAGEC1
NM_006227	P55058	PLTP
NM_031434	Q9BVT8	TMUB1
NM_012080	Q08623	PUDP
NM_152591	Q8NA47	CCDC63
NM_173465	Q86Y22	COL23A1
NM_020982	O95484	CLDN9
NM_021619	Q9H4Q4	PRDM12
NM_006832	Q96AC1	FERMT2
NM_005061	Q92901	RPL3L
NM_025000	Q5H9S7	DCAF17
NM_002934	P10153	RNASE2
NM_005306	O15552	FFAR2
NM_005187	O75081	CBFA2T3
NM_003094	P62304	SNRPE
NM_004362	O14967	CLGN
NM_002854	P20472	PVALB
NM_001016	P25398	RPS12
NM_014786	Q96PE2	ARHGEF17
NM_001115116	Q8N9V6	ANKRD53
NM_001303137	P0C862	C1QTNF9
NM_014604	O14907	TAX1BP3
NM_014789	O75123	ZNF623
NM_001282484	I6L899	GOLGA8R
NM_025239	Q9BQ51	PDCD1LG2
NM_001012758	P0C025	NUDT17
NM_001135570	Q69YU5	BRAWNIN
NM_032935	P47944	MT4
NM_032151	Q9H0N5	PCBD2
NM_007218	Q8WU17	RNF139
NM_007055	O14802	POLR3A
NM_017855	A1E959	ODAM
NM_206833	P60606	CTXN1
NM_014728	Q14CM0	FRMPD4
NM_002183	P26951	IL3RA
NM_012254	Q9Y2P5	SLC27A5
NM_001168235	P0C091	FREM3
NM_004849	Q9H1Y0	ATG5
NM_012419	Q9UGC6	RGS17
NM_006638	O75818	RPP40
NM_033400	Q9C0A1	ZFHX2
NM_001385710	P57086	SCAND1
NM_032137	Q8ND61	C3orf20
NM_005093	O43439	CBFA2T2
NM_032111	Q6P1L8	MRPL14
NM_198508	A4D1S0	KLRG2
NM_021639	Q9HC44	GPBP1L1
NM_001040142	Q99250	SCN2A
NM_032558	Q5SR56	MFSD14B
NM_022129	P30039	PBLD
NM_001395953	Q14409	GK3P
NM_001257390	P08962	CD63
NM_004752	O75603	GCM2
NM_032373	Q86SE9	PCGF5
NM_006060	Q13422	IKZF1
NM_001395996	A0A494C071	PWWP4
NM_005495	Q9Y2C5	SLC17A4
NM_001370248	Q96KP4	CNDP2
NM_014282	Q5JVS0	HABP4
NM_182946	Q8N4C6	NIN
NM_005243	Q01844	EWSR1
NM_021628	Q9BYJ1	ALOXE3
NM_001395436	A0A3B3IT52	MSANTD5
NM_001407	Q9NYQ7	CELSR3
NM_001306076	Q5T9S5	CCDC18
NM_003435	P52741	ZNF134
NM_020219	Q7Z692	CEACAM19
NM_006028	O95264	HTR3B
NM_017781	Q8TAV3	CYP2W1
NM_001979	P34913	EPHX2
NM_016519	Q9NP70	AMBN
NM_001258282	Q7L985	LINGO2
NM_001322903	P60880	SNAP25
NM_004163	O00194	RAB27B
NM_138982	P53779	MAPK10
NM_004098	Q04743	EMX2
NM_031430	Q96NA2	RILP
NM_004895	Q96P20	NLRP3
NM_001004136	Q6IF00	OR2T2
NM_001352774	P14923	JUP
NM_181486	Q99593	TBX5
NM_080721	Q9BR26	OCSTAMP
NM_003728	O95185	UNC5C
NM_178233	Q7RTS5	OTOP3
NM_001004734	A6ND48	OR14I1
NM_175872	Q3KQV3	ZNF792
NM_001635	P49418	AMPH
NM_020859	Q8TF72	SHROOM3
NM_002765	P11908	PRPS2
NM_001257357	Q7Z6P3	RAB44
NM_007184	Q9Y2I1	NISCH
NM_024733	Q9H7R5	ZNF665
NM_030572	Q9BT56	SPX
NM_005069	Q14190	SIM2
NM_014872	O15062	ZBTB5
NM_138771	Q96EE4	CCDC126
NM_001005487	Q8NGZ3	OR13G1
NM_015645	Q9BXJ0	C1QTNF5
NM_033028	Q96RK4	BBS4
NM_001367990	Q00987	MDM2
NM_001242487	A7E2V4	ZSWIM8
NM_006994	O00478	BTN3A3
NM_024877	Q9H8S5	CCNP
NM_024928	Q9H668	STN1
NM_001366320	P55196	AFDN
NM_173827	Q8N8Q8	COX18
NM_138703	Q8TD90	MAGEE2
NM_003718	Q14004	CDK13
NM_014746	P50876	RNF144A
NM_001006607	A6NM11	LRRC37A2
NM_003294	Q15661/P20231	TPSAB1/TPSB2
NM_144701	Q5VWK5	IL23R
NM_145810	Q9BWT1	CDCA7
NM_001145643	C9JFL3	PHGR1
NM_002579	O75781	PALM
NM_153034	Q96MN9	ZNF488
NM_004865	P62380	TBPL1
NM_018670	Q9BRJ9	MESP1
NM_014713	Q15012	LAPTM4A
NM_005040	P42785	PRCP
NM_016436	Q9BVI0	PHF20
NM_144992	Q502W6	VWA3B
NM_138705	Q8TD86	CALML6
NM_001257	P55290	CDH13
NM_001350853	E5RQL4	FTCDNL1
NM_022662	Q9H1A4	ANAPC1
NM_005166	P51693	APLP1
NM_144662	Q8TAA3	PSMA8
NM_018445	Q9BQE4	SELENOS
NM_015189	Q9Y2D4	EXOC6B
NM_006237	Q01851	POU4F1
NM_001238	P24864	CCNE1
NM_001080466	A6NE02	BTBD17
NM_022087	Q8NCW6	GALNT11
NM_032563	Q9BYE3	LCE3D
NM_004553	O75380	NDUFS6
NM_014000	P18206	VCL
NM_002976	Q01118	SCN7A
NM_001012502	Q5JU67	CFAP157
NM_199352	Q6T423	SLC22A25
NM_001080503	P0C7I6	CCDC159
NM_018369	Q8WUY9	DEPDC1B
NM_005817	O60664	PLIN3
NM_016556	Q9P2W1	PSMC3IP
NM_016167	Q9UMY1	NOL7
NM_005566	P00338	LDHA
NM_000128	P03951	F11
NM_001385261	P0DN87	CGB7
NM_001197246	P78410	BTN3A2
NM_177417	Q6P597	KLC3
NM_001080	P51649	ALDH5A1
NM_001077418	Q9H6L2	TMEM231
NM_001005496	Q8NGK9	OR5D16
NM_014359	Q9UBM4	OPTC
NM_172095	Q96P56	CATSPER2
NM_014825	O60287	URB1
NM_006446	Q9Y6L6	SLCO1B1
NM_000485	P07741	APRT
NM_001286577	Q4AC94	C2CD3
NM_006156	Q15843	NEDD8
NM_001018138	P22392	NME2
NM_014744	Q92609	TBC1D5
NM_001164436	A6NML5	TMEM212
NM_001010	P62753	RPS6
NM_152665	Q8N7M0	DYNLT5
NM_024769	Q9H6B4	CLMP
NM_001010985	A2RUH7	MYBPHL
NM_202468	O14908	GIPC1
NM_024776	Q9H792	PEAK1
NM_182496	Q502W7	CCDC38
NM_138382	Q0D2K3	RIPPLY1
NM_016011	Q9BV79	MECR
NM_001145717	Q8N8W4	PNPLA1
NM_004992	P51608	MECP2
NM_005839	Q8IYB3	SRRM1
NM_080489	Q9H190	SDCBP2
NM_004112	Q92914	FGF11
NM_032591	Q96T83	SLC9A7
NM_016536	Q7Z3V5	ZNF571
NM_012134	P29536	LMOD1
NM_001346754	Q7Z7B1	PIGW
NM_002341	Q06643	LTB
NM_001387113	Q9UBT6	POLK
NM_024697	Q9H6B1	ZNF385D
NM_145169	Q8WV19	SFT2D1
NM_020682	Q9HBK9	AS3MT
NM_012186	Q13461	FOXE3
NM_020804	Q9BY11	PACSIN1
NM_001103	P35609	ACTN2
NM_006015	O14497	ARID1A
NM_001355437	P11277	SPTB
NM_006138	Q96HJ5	MS4A3
NM_017614	Q9H2M3	BHMT2
NM_024783	Q5U5Z8	AGBL2
NM_001293290	Q9C004	SPRY4
NM_025243	Q9BZV2	SLC19A3
NM_001039165	Q86SM8	MRGPRE
NM_005665	O60447	EVI5
NM_017564	Q8WWQ8	STAB2
NM_001031672	Q6IPT4	CYB5RL
NM_001346488	Q9H2K8	TAOK3
NM_001957	P25101	EDNRA
NM_001031716	Q96AH0	NABP1
NM_014369	Q99952	PTPN18
NM_005006	P28331	NDUFS1
NM_001384542	Q70CQ1	USP49
NM_013255	Q9UL63	MKLN1
NM_001348	O43293	DAPK3
NM_182580	Q8N8Q1	CYB561D1
NM_001203261	E9PQ53	NDUFC2-KCTD14
NM_000026	P30566	ADSL
NM_018430	Q2TAA8	TSNAXIP1
NM_024787	Q9H9V4	RNF122
NM_001364461	A0A494C103	LOC112577516
NM_012176	Q9UKT5	FBXO4
NM_004994	P14780	MMP9
NM_021137	Q13829	TNFAIP1
NM_130467	Q96GU1	PAGE5
NM_014706	Q15020	SART3
NM_001350652	Q8IYX8	CEP57L1
NM_001322370	A0A0G2JKD1	MUC21
NM_032461	Q9NS25	SPANXB1
NM_007278	O95166	GABARAP
NM_001145373	Q5VV17	OTUD1
NM_001005751	Q641Q2	WASHC2A
NM_001282537	B9A014/P0DPQ4	FAM243A/FAM243B
NM_014899	O94955	RHOBTB3
NM_000903	P15559	NQO1
NM_001111	P55265	ADAR
NM_001039888	Q69YU3	ANKRD34A
NM_145040	Q969G5	CAVIN3
NM_002912	O60673	REV3L
NM_001206671	Q7Z5B4	RIC3
NM_002408	Q10469	MGAT2
NM_001005283	Q8NGE9	OR9Q2
NM_001024599	Q5QNW6	H2BC18
NM_000694	P43353	ALDH3B1
NM_001100598	Q96C28	ZNF707
NM_001329394	Q96GC9	VMP1
NM_022765	Q8TDZ2	MICAL1
NM_173699	Q96M61	MAGEB18
NM_015370	O95567	C22orf31
NM_198992	Q6XYQ8	SYT10
NM_021146	O43827	ANGPTL7
NM_198593	Q9BXJ1	C1QTNF1
NM_032115	Q96T55	KCNK16
NM_001346817	P51580	TPMT
NM_178868	Q8IZV2	CMTM8
NM_002950	P04843	RPN1
NM_000368	Q92574	TSC1
NM_001037	Q07699	SCN1B
NM_020232	Q969U7	PSMG2
NM_198533	Q7Z5J1	HSD11B1L
NM_000947	P49643	PRIM2
NM_001143936	A6NNL5	C15orf61
NM_001362797	Q9Y6X8	ZHX2
NM_198239	O95389	CCN6
NM_001286246	Q8N9I9	DTX3
NM_003527	P23527	H2BC17
NM_001553	Q16270	IGFBP7
NM_001114600	Q7Z422	SZRD1
NM_001129891	A6NMK8	INSYN2B
NM_000505	P00748	F12
NM_001198532	Q8N573	OXR1
NM_182607	Q86XK7	VSIG1
NM_003257	Q07157	TJP1
NM_001135789	A0A0B4J2A2	PPIAL4C
NM_001160325	Q8NGX9	OR6P1
NM_014434	Q9UHB4	NDOR1
NM_001029860	Q4G163	FBXO43
NM_024583	Q0VDG4	SCRN3
NM_003332	O43914	TYROBP
NM_138501	Q9NZ01	TECR
NM_018290	Q96G03	PGM2
NM_003489	P48552	NRIP1
NM_006842	Q13435	SF3B2
NM_001085455	Q3LI83	KRTAP24-1
NM_001349338	Q9H334	FOXP1
NM_020124	Q9P0W0	IFNK
NM_001215	P23280	CA6
NM_018100	Q5JVL4	EFHC1
NM_182704	P59797	SELENOV
NM_144978	Q96M89	CCDC138
